Invoice ID,Date,Branch,City,Customer Type,Gender,Product,Category,Quantity,Unit Price,Payment,Rating,Sales
INV0063,2026-01-22,D,Bengaluru,Member,Female,Soap,Personal Care,2,41.91,UPI,3.3,83.82
INV0064,2026-01-22,C,Mumbai,Member,Female,Cooking Oil,Grocery,3,151.02,Card,3.0,453.06
INV0065,2026-01-23,D,Bengaluru,Normal,Male,Soap,Personal Care,7,46.17,Net Banking,3.6,323.19
INV0066,2026-01-23,B,Delhi,Member,Male,Chocolate,Snacks,5,52.88,UPI,4.1,264.4
INV0067,2026-01-24,D,Bengaluru,Member,Female,Cooking Oil,Grocery,7,146.68,Card,3.0,1026.76
INV0068,2026-01-24,B,Delhi,Normal,Female,Cheese,Dairy,3,219.06,Card,4.6,657.18
INV0069,2026-01-24,D,Bengaluru,Member,Male,Face Wash,Personal Care,4,127.7,Card,3.9,510.8
INV0070,2026-01-25,D,Bengaluru,Member,Male,Soap,Personal Care,5,42.61,Cash,3.4,213.05
INV0071,2026-01-25,B,Delhi,Normal,Female,Cold Drink,Beverages,4,65.79,Cash,3.2,263.16
INV0072,2026-01-25,C,Mumbai,Member,Female,Shampoo,Personal Care,3,177.53,UPI,3.8,532.59
INV0073,2026-01-26,B,Delhi,Member,Male,Noodles,Grocery,9,50.72,Cash,3.9,456.48
INV0074,2026-01-27,A,Jaipur,Normal,Male,Biscuits,Snacks,8,31.58,UPI,4.7,252.64
INV0075,2026-01-27,B,Delhi,Member,Male,Apples,Fruits,8,149.74,UPI,4.5,1197.92
INV0076,2026-01-27,B,Delhi,Normal,Male,Shampoo,Personal Care,6,191.64,Cash,3.4,1149.84
INV0077,2026-01-27,B,Delhi,Member,Male,Cold Drink,Beverages,9,67.26,Cash,3.7,605.34
INV0078,2026-01-28,C,Mumbai,Member,Female,Rice,Grocery,6,70.07,Net Banking,3.9,420.42
INV0079,2026-01-28,C,Mumbai,Normal,Male,Cooking Oil,Grocery,2,152.54,Card,4.2,305.08
INV0080,2026-01-28,A,Jaipur,Normal,Female,Tomato,Vegetables,1,42.49,Net Banking,4.5,42.49
INV0081,2026-01-28,B,Delhi,Normal,Female,Bananas,Fruits,3,64.2,Card,3.8,192.6
INV0082,2026-01-28,C,Mumbai,Member,Female,Milk,Dairy,5,51.62,UPI,4.2,258.1
INV0083,2026-01-28,A,Jaipur,Member,Male,Cooking Oil,Grocery,1,145.23,UPI,3.0,145.23
INV0084,2026-01-29,B,Delhi,Member,Female,Face Wash,Personal Care,8,113.5,UPI,3.2,908.0
INV0085,2026-01-30,C,Mumbai,Member,Male,Apples,Fruits,6,138.65,Cash,4.0,831.9
INV0086,2026-01-30,B,Delhi,Member,Male,Chocolate,Snacks,6,53.34,Cash,4.0,320.04
INV0087,2026-01-30,D,Bengaluru,Normal,Female,Shampoo,Personal Care,6,180.67,Cash,3.5,1084.02
INV0088,2026-01-30,D,Bengaluru,Member,Male,Milk,Dairy,1,58.13,Cash,3.6,58.13
INV0089,2026-01-30,B,Delhi,Member,Female,Cold Drink,Beverages,3,69.05,Net Banking,3.0,207.15
INV0090,2026-01-31,A,Jaipur,Normal,Male,Chocolate,Snacks,7,53.13,Card,3.3,371.91
INV0091,2026-01-31,A,Jaipur,Normal,Male,Biscuits,Snacks,10,28.32,Cash,4.1,283.2
INV0092,2026-01-31,B,Delhi,Member,Male,Potato,Vegetables,7,34.39,UPI,3.7,240.73
INV0093,2026-01-31,D,Bengaluru,Normal,Female,Potato,Vegetables,7,35.62,Card,4.0,249.34
INV0094,2026-02-01,C,Mumbai,Member,Male,Tomato,Vegetables,6,44.78,UPI,4.1,268.68
INV0095,2026-02-01,A,Jaipur,Member,Female,Soap,Personal Care,5,45.96,Net Banking,3.9,229.8
INV0096,2026-02-01,A,Jaipur,Member,Female,Bread,Bakery,5,37.86,Net Banking,3.9,189.3
INV0097,2026-02-01,B,Delhi,Normal,Female,Cheese,Dairy,4,222.36,Net Banking,5.0,889.44
INV0098,2026-02-01,B,Delhi,Normal,Female,Apples,Fruits,8,143.19,Card,4.7,1145.52
INV0099,2026-02-02,B,Delhi,Member,Male,Noodles,Grocery,6,50.92,Net Banking,3.1,305.52
INV0100,2026-02-02,A,Jaipur,Normal,Male,Biscuits,Snacks,3,30.06,Card,4.8,90.18
INV0101,2026-02-03,C,Mumbai,Member,Female,Chips,Snacks,7,35.95,UPI,4.3,251.65
INV0102,2026-02-03,D,Bengaluru,Member,Female,Face Wash,Personal Care,1,126.62,Card,4.2,126.62
INV0103,2026-02-03,C,Mumbai,Member,Female,Milk,Dairy,4,53.91,Net Banking,3.6,215.64
INV0104,2026-02-04,C,Mumbai,Member,Female,Chips,Snacks,9,37.71,UPI,3.5,339.39
INV0105,2026-02-05,C,Mumbai,Member,Female,Coffee,Beverages,4,172.62,Net Banking,3.5,690.48
INV0106,2026-02-05,A,Jaipur,Normal,Female,Bread,Bakery,10,42.76,Cash,4.4,427.6
INV0107,2026-02-05,C,Mumbai,Member,Male,Cheese,Dairy,3,226.54,UPI,4.2,679.62
INV0108,2026-02-06,C,Mumbai,Normal,Male,Soap,Personal Care,8,45.65,UPI,3.4,365.2
INV0109,2026-02-06,B,Delhi,Member,Female,Rice,Grocery,8,71.27,Card,4.6,570.16
INV0110,2026-02-06,B,Delhi,Normal,Male,Potato,Vegetables,8,35.34,Cash,3.5,282.72
INV0111,2026-02-07,A,Jaipur,Member,Male,Face Wash,Personal Care,4,117.7,Card,4.2,470.8
INV0112,2026-02-07,C,Mumbai,Member,Male,Rice,Grocery,10,71.5,Card,3.8,715.0
INV0113,2026-02-07,D,Bengaluru,Normal,Female,Cooking Oil,Grocery,3,152.87,Card,3.7,458.61
INV0114,2026-02-08,B,Delhi,Member,Male,Bananas,Fruits,6,62.47,Net Banking,3.5,374.82
INV0115,2026-02-08,B,Delhi,Member,Male,Face Wash,Personal Care,10,119.07,Cash,4.0,1190.7
INV0116,2026-02-09,C,Mumbai,Normal,Female,Milk,Dairy,3,57.28,Card,3.4,171.84
INV0117,2026-02-10,D,Bengaluru,Normal,Male,Bread,Bakery,6,38.43,Card,3.7,230.58
INV0118,2026-02-10,C,Mumbai,Normal,Female,Biscuits,Snacks,2,32.08,Card,3.9,64.16
INV0119,2026-02-10,A,Jaipur,Normal,Male,Bananas,Fruits,8,63.96,Net Banking,5.0,511.68
INV0120,2026-02-11,D,Bengaluru,Member,Male,Cooking Oil,Grocery,8,148.24,Cash,3.9,1185.92
INV0121,2026-02-12,A,Jaipur,Member,Female,Cooking Oil,Grocery,8,149.71,Net Banking,3.4,1197.68
INV0122,2026-02-12,C,Mumbai,Member,Female,Noodles,Grocery,9,54.6,UPI,4.0,491.4
INV0123,2026-02-12,A,Jaipur,Member,Male,Cold Drink,Beverages,6,69.25,Net Banking,3.7,415.5
INV0124,2026-02-13,D,Bengaluru,Member,Male,Noodles,Grocery,9,56.99,Card,4.0,512.91
INV0125,2026-02-13,B,Delhi,Normal,Male,Chips,Snacks,7,33.15,Net Banking,3.9,232.05
INV0126,2026-02-13,C,Mumbai,Normal,Male,Cheese,Dairy,4,232.33,UPI,3.2,929.32
INV0127,2026-02-14,A,Jaipur,Member,Female,Soap,Personal Care,1,46.22,Net Banking,4.2,46.22
INV0128,2026-02-14,B,Delhi,Normal,Female,Chips,Snacks,10,37.33,Cash,4.5,373.3
INV0129,2026-02-14,C,Mumbai,Normal,Male,Noodles,Grocery,1,56.74,UPI,3.5,56.74
INV0130,2026-02-14,B,Delhi,Member,Male,Tea,Beverages,4,120.62,Card,4.2,482.48
INV0131,2026-02-15,C,Mumbai,Normal,Female,Coffee,Beverages,8,174.93,Card,4.1,1399.44
INV0132,2026-02-15,A,Jaipur,Normal,Female,Bananas,Fruits,5,63.18,Net Banking,4.2,315.9
INV0133,2026-02-15,B,Delhi,Member,Male,Tea,Beverages,10,112.86,UPI,4.8,1128.6
INV0134,2026-02-15,C,Mumbai,Member,Male,Cheese,Dairy,6,229.55,Net Banking,4.5,1377.3
INV0135,2026-02-15,D,Bengaluru,Member,Male,Bananas,Fruits,4,62.35,Net Banking,4.1,249.4
INV0136,2026-02-16,B,Delhi,Member,Female,Bananas,Fruits,6,61.37,UPI,4.2,368.22
INV0137,2026-02-16,C,Mumbai,Member,Female,Tea,Beverages,3,115.72,Net Banking,4.3,347.16
INV0138,2026-02-16,C,Mumbai,Normal,Male,Cooking Oil,Grocery,7,153.11,Card,4.8,1071.77
INV0139,2026-02-16,C,Mumbai,Member,Female,Cheese,Dairy,1,220.14,UPI,4.4,220.14
INV0140,2026-02-16,C,Mumbai,Member,Male,Shampoo,Personal Care,4,172.76,Net Banking,3.6,691.04
INV0141,2026-02-18,B,Delhi,Member,Female,Cooking Oil,Grocery,7,153.14,UPI,5.0,1071.98
INV0142,2026-02-18,A,Jaipur,Member,Male,Noodles,Grocery,1,55.19,Card,3.6,55.19
INV0143,2026-02-18,D,Bengaluru,Member,Male,Noodles,Grocery,10,55.7,Card,3.2,557.0
INV0144,2026-02-18,D,Bengaluru,Normal,Male,Cooking Oil,Grocery,7,151.44,Card,4.5,1060.08
INV0145,2026-02-18,C,Mumbai,Normal,Female,Cold Drink,Beverages,2,64.81,UPI,4.0,129.62
INV0146,2026-02-18,C,Mumbai,Member,Male,Tea,Beverages,2,123.82,Card,4.0,247.64
INV0147,2026-02-18,C,Mumbai,Normal,Female,Potato,Vegetables,9,33.8,Cash,3.6,304.2
INV0148,2026-02-18,A,Jaipur,Normal,Female,Rice,Grocery,9,67.2,Cash,4.6,604.8
INV0149,2026-02-19,C,Mumbai,Normal,Male,Biscuits,Snacks,1,30.6,Card,3.7,30.6
INV0150,2026-02-19,C,Mumbai,Member,Male,Shampoo,Personal Care,9,183.35,Net Banking,3.6,1650.15
INV0151,2026-02-21,C,Mumbai,Normal,Male,Chips,Snacks,9,34.65,UPI,3.6,311.85
INV0152,2026-02-21,D,Bengaluru,Member,Male,Chips,Snacks,5,37.48,Card,4.2,187.4
INV0153,2026-02-22,B,Delhi,Member,Female,Cooking Oil,Grocery,8,150.06,Cash,4.5,1200.48
INV0154,2026-02-22,D,Bengaluru,Member,Female,Coffee,Beverages,10,177.29,Net Banking,3.3,1772.9
INV0155,2026-02-22,C,Mumbai,Normal,Male,Apples,Fruits,9,138.3,Card,4.2,1244.7
INV0156,2026-02-22,D,Bengaluru,Member,Female,Cold Drink,Beverages,1,67.63,Card,3.7,67.63
INV0157,2026-02-22,C,Mumbai,Member,Male,Milk,Dairy,3,56.87,Cash,3.7,170.61
INV0158,2026-02-22,A,Jaipur,Normal,Male,Face Wash,Personal Care,3,124.03,Cash,3.0,372.09
INV0159,2026-02-23,C,Mumbai,Member,Female,Rice,Grocery,5,68.86,Cash,3.1,344.3
INV0160,2026-02-23,D,Bengaluru,Member,Male,Apples,Fruits,10,145.7,Cash,4.1,1457.0
INV0161,2026-02-25,D,Bengaluru,Member,Male,Bread,Bakery,6,41.09,Cash,4.1,246.54
INV0162,2026-02-25,B,Delhi,Normal,Male,Apples,Fruits,9,136.01,Card,3.3,1224.09
INV0163,2026-02-25,A,Jaipur,Normal,Male,Shampoo,Personal Care,4,174.66,Net Banking,3.7,698.64
INV0164,2026-02-25,C,Mumbai,Member,Male,Face Wash,Personal Care,4,114.83,Cash,4.5,459.32
INV0165,2026-02-26,B,Delhi,Member,Female,Cold Drink,Beverages,8,63.99,Card,3.9,511.92
INV0166,2026-02-26,A,Jaipur,Normal,Male,Rice,Grocery,9,66.85,Net Banking,3.9,601.65
INV0167,2026-02-27,A,Jaipur,Member,Male,Cold Drink,Beverages,6,67.78,Cash,4.7,406.68
INV0168,2026-02-27,B,Delhi,Member,Female,Potato,Vegetables,10,33.22,Cash,3.0,332.2
INV0169,2026-02-28,D,Bengaluru,Member,Female,Coffee,Beverages,1,177.46,Net Banking,3.0,177.46
INV0170,2026-02-28,D,Bengaluru,Normal,Male,Chocolate,Snacks,4,53.0,UPI,3.6,212.0
INV0171,2026-02-28,B,Delhi,Normal,Female,Shampoo,Personal Care,2,188.0,UPI,5.0,376.0
INV0172,2026-02-28,B,Delhi,Member,Female,Potato,Vegetables,9,34.32,UPI,4.6,308.88
INV0173,2026-02-28,D,Bengaluru,Normal,Male,Rice,Grocery,5,72.17,Net Banking,3.3,360.85
INV0174,2026-02-28,D,Bengaluru,Normal,Female,Apples,Fruits,10,147.47,Net Banking,4.8,1474.7
INV0175,2026-03-01,D,Bengaluru,Normal,Female,Cheese,Dairy,8,225.26,Card,3.7,1802.08
INV0176,2026-03-01,D,Bengaluru,Member,Female,Shampoo,Personal Care,9,183.31,Cash,4.7,1649.79
INV0177,2026-03-01,C,Mumbai,Member,Male,Potato,Vegetables,4,36.43,Card,3.9,145.72
INV0178,2026-03-02,C,Mumbai,Member,Male,Tomato,Vegetables,10,42.91,Card,4.4,429.1
INV0179,2026-03-02,C,Mumbai,Member,Male,Cheese,Dairy,4,219.46,Card,3.5,877.84
INV0180,2026-03-02,A,Jaipur,Normal,Female,Tomato,Vegetables,10,45.28,Cash,4.6,452.8
INV0181,2026-03-02,B,Delhi,Member,Male,Rice,Grocery,9,69.36,UPI,3.3,624.24
INV0182,2026-03-03,A,Jaipur,Member,Female,Noodles,Grocery,7,53.69,Card,4.5,375.83
INV0183,2026-03-03,A,Jaipur,Normal,Male,Apples,Fruits,2,140.49,Card,3.6,280.98
INV0184,2026-03-03,D,Bengaluru,Member,Female,Milk,Dairy,1,58.84,Cash,3.3,58.84
INV0185,2026-03-03,C,Mumbai,Normal,Male,Milk,Dairy,6,53.49,Net Banking,3.7,320.94
INV0186,2026-03-03,C,Mumbai,Normal,Female,Bread,Bakery,2,38.74,Card,3.8,77.48
INV0187,2026-03-03,C,Mumbai,Normal,Female,Soap,Personal Care,2,45.94,Cash,3.7,91.88
INV0188,2026-03-05,B,Delhi,Member,Female,Soap,Personal Care,6,44.27,UPI,3.4,265.62
INV0189,2026-03-05,C,Mumbai,Normal,Male,Apples,Fruits,2,139.7,Card,3.9,279.4
INV0190,2026-03-05,A,Jaipur,Normal,Male,Coffee,Beverages,2,172.06,UPI,3.4,344.12
INV0191,2026-03-05,A,Jaipur,Member,Female,Bread,Bakery,6,42.64,Card,5.0,255.84
INV0192,2026-03-06,B,Delhi,Member,Male,Cheese,Dairy,3,223.56,Cash,3.0,670.68
INV0193,2026-03-06,C,Mumbai,Normal,Male,Shampoo,Personal Care,4,191.65,Card,5.0,766.6
INV0194,2026-03-06,B,Delhi,Normal,Male,Coffee,Beverages,6,176.36,Net Banking,4.0,1058.16
INV0195,2026-03-06,D,Bengaluru,Normal,Female,Face Wash,Personal Care,1,114.84,Net Banking,3.2,114.84
INV0196,2026-03-08,D,Bengaluru,Member,Male,Tea,Beverages,6,110.95,Card,3.7,665.7
INV0197,2026-03-08,A,Jaipur,Normal,Male,Rice,Grocery,3,71.6,UPI,3.8,214.8
INV0198,2026-03-08,C,Mumbai,Member,Female,Bread,Bakery,4,38.44,Net Banking,4.1,153.76
INV0199,2026-03-08,A,Jaipur,Member,Male,Bananas,Fruits,4,64.52,Cash,3.3,258.08
INV0200,2026-03-08,D,Bengaluru,Normal,Female,Noodles,Grocery,3,54.52,Net Banking,4.5,163.56
INV0201,2026-03-08,D,Bengaluru,Normal,Female,Milk,Dairy,9,53.76,UPI,4.1,483.84
INV0202,2026-03-09,B,Delhi,Normal,Male,Noodles,Grocery,5,54.55,Net Banking,5.0,272.75
INV0203,2026-03-09,A,Jaipur,Normal,Male,Bananas,Fruits,6,62.81,Card,4.4,376.86
INV0204,2026-03-09,C,Mumbai,Normal,Female,Shampoo,Personal Care,6,179.72,Cash,4.7,1078.32
INV0205,2026-03-09,D,Bengaluru,Normal,Female,Tea,Beverages,4,120.45,UPI,4.6,481.8
INV0206,2026-03-10,B,Delhi,Member,Male,Cheese,Dairy,9,231.55,UPI,4.4,2083.95
INV0207,2026-03-10,C,Mumbai,Member,Male,Cold Drink,Beverages,4,66.68,Cash,4.7,266.72
INV0208,2026-03-10,D,Bengaluru,Normal,Female,Cooking Oil,Grocery,10,153.29,Net Banking,4.7,1532.9
INV0209,2026-03-10,C,Mumbai,Member,Male,Bananas,Fruits,7,62.0,UPI,4.5,434.0
INV0210,2026-03-11,C,Mumbai,Member,Male,Cheese,Dairy,10,226.89,Cash,4.2,2268.9
INV0211,2026-03-11,B,Delhi,Member,Male,Chips,Snacks,4,35.28,Net Banking,4.6,141.12
INV0212,2026-03-12,C,Mumbai,Member,Female,Chocolate,Snacks,8,52.68,Net Banking,3.1,421.44
INV0213,2026-03-12,D,Bengaluru,Normal,Male,Chocolate,Snacks,9,53.37,UPI,4.5,480.33
INV0214,2026-03-12,D,Bengaluru,Normal,Female,Noodles,Grocery,2,57.61,Card,3.5,115.22
INV0215,2026-03-13,C,Mumbai,Member,Male,Shampoo,Personal Care,6,169.48,Net Banking,3.3,1016.88
INV0216,2026-03-13,B,Delhi,Member,Female,Noodles,Grocery,1,55.23,UPI,4.0,55.23
INV0217,2026-03-13,C,Mumbai,Normal,Female,Noodles,Grocery,7,51.66,Net Banking,3.5,361.62
INV0218,2026-03-14,D,Bengaluru,Normal,Male,Soap,Personal Care,9,45.5,Card,4.6,409.5
INV0219,2026-03-14,B,Delhi,Normal,Female,Face Wash,Personal Care,4,124.39,Card,3.9,497.56
INV0220,2026-03-14,B,Delhi,Normal,Female,Noodles,Grocery,2,53.4,UPI,4.4,106.8
INV0221,2026-03-16,A,Jaipur,Member,Female,Cooking Oil,Grocery,5,148.41,Card,4.7,742.05
INV0222,2026-03-16,C,Mumbai,Member,Female,Rice,Grocery,10,70.1,Cash,3.0,701.0
INV0223,2026-03-17,A,Jaipur,Member,Female,Tea,Beverages,10,123.65,Cash,4.0,1236.5
INV0224,2026-03-17,A,Jaipur,Normal,Female,Shampoo,Personal Care,9,185.23,UPI,3.9,1667.07
INV0225,2026-03-17,C,Mumbai,Member,Male,Cold Drink,Beverages,9,69.96,Cash,3.5,629.64
INV0226,2026-03-17,A,Jaipur,Member,Female,Cold Drink,Beverages,6,68.21,Net Banking,4.4,409.26
INV0227,2026-03-17,A,Jaipur,Member,Male,Shampoo,Personal Care,5,183.8,Card,3.4,919.0
INV0228,2026-03-17,B,Delhi,Normal,Male,Chocolate,Snacks,8,53.08,Cash,3.5,424.64
INV0229,2026-03-18,D,Bengaluru,Member,Male,Tea,Beverages,9,128.34,Card,4.7,1155.06
INV0230,2026-03-18,D,Bengaluru,Normal,Female,Tea,Beverages,6,112.79,UPI,3.0,676.74
INV0231,2026-03-18,C,Mumbai,Normal,Female,Bananas,Fruits,6,61.17,Card,3.9,367.02
INV0232,2026-03-19,D,Bengaluru,Normal,Female,Potato,Vegetables,5,36.46,UPI,4.4,182.3
INV0233,2026-03-19,C,Mumbai,Member,Female,Apples,Fruits,8,138.67,Net Banking,4.1,1109.36
INV0234,2026-03-19,B,Delhi,Member,Male,Rice,Grocery,7,69.13,Card,4.0,483.91
INV0235,2026-03-20,A,Jaipur,Member,Male,Cooking Oil,Grocery,2,152.83,Net Banking,4.1,305.66
INV0236,2026-03-20,C,Mumbai,Member,Female,Biscuits,Snacks,5,29.01,Net Banking,4.1,145.05
INV0237,2026-03-21,C,Mumbai,Member,Male,Potato,Vegetables,8,37.13,Cash,4.1,297.04
INV0238,2026-03-24,C,Mumbai,Normal,Male,Apples,Fruits,1,140.49,UPI,4.3,140.49
INV0239,2026-03-24,C,Mumbai,Member,Male,Cooking Oil,Grocery,5,154.28,UPI,4.6,771.4
INV0240,2026-03-24,B,Delhi,Normal,Male,Face Wash,Personal Care,7,117.69,Net Banking,4.4,823.83
INV0241,2026-03-24,D,Bengaluru,Member,Female,Biscuits,Snacks,8,29.74,Net Banking,4.7,237.92
INV0242,2026-03-24,B,Delhi,Member,Female,Tea,Beverages,4,116.6,UPI,3.3,466.4
INV0243,2026-03-25,D,Bengaluru,Normal,Female,Tea,Beverages,6,127.14,Net Banking,3.5,762.84
INV0244,2026-03-25,C,Mumbai,Member,Male,Bread,Bakery,1,37.86,Cash,3.7,37.86
INV0245,2026-03-26,D,Bengaluru,Normal,Male,Biscuits,Snacks,1,30.51,Net Banking,4.4,30.51
INV0246,2026-03-26,A,Jaipur,Member,Male,Tomato,Vegetables,6,43.91,Cash,3.8,263.46
INV0247,2026-03-27,D,Bengaluru,Normal,Female,Milk,Dairy,9,56.93,UPI,3.6,512.37
INV0248,2026-03-27,A,Jaipur,Member,Male,Biscuits,Snacks,1,29.72,Cash,3.2,29.72
INV0249,2026-03-28,B,Delhi,Normal,Female,Cooking Oil,Grocery,2,149.25,Net Banking,5.0,298.5
INV0250,2026-03-28,B,Delhi,Normal,Female,Cooking Oil,Grocery,3,147.12,Cash,4.7,441.36
INV0251,2026-03-28,C,Mumbai,Normal,Male,Potato,Vegetables,9,35.84,UPI,3.8,322.56
